pmid,author,weightage
32129583,Y Z Wu,0.09091
32129583,S H Zhou,0.09091
32540444,Robert J Cerfolio,1
33661063,Sadiqa Kendi,0.2
33661063,Mary Beth Howard,0.2
33661063,Mohamed A Mohamed,0.2
33661063,Samuel Eaddy,0.2
33661063,James M Chamberlain,0.2
32981988,Milad Haghani,0.5
32981988,Michiel C J Bliemer,0.5
32804531,Emily M Lund,1
33671746,Gyujin Heo,0.09091
33671746,Catherine Apio,0.09091
33671746,Kyulhee Han,0.09091
33671746,Taewan Goo,0.09091
33671746,Hye Won Chung,0.09091
33671746,Taehyun Kim,0.09091
33671746,Hakyong Kim,0.09091
33671746,Yeonghyeon Ko,0.09091
33671746,Doeun Lee,0.09091
33671746,Jisun Lim,0.09091
33671746,Taesung Park,0.09091
33319978,Brayden G Schindell,0.25
33319978,Meagan Allardice,0.25
33319978,Sandhini Lockman,0.25
33319978,Jason Kindrachuk,0.25
34471336,Paul S Hammond,1
34541553,Meriam Islam,0.25
34541553,Munazzah Chou,0.25
34541553,Tasanee Braithwaite,0.25
34541553,Ata Siddiqui,0.25
33570755,Marcos Nakamura-Pereira,0.2
33570755,Roxana Knobel,0.2
33570755,Mariane O Menezes,0.2
33570755,Carla B Andreucci,0.2
33570755,Maíra L S Takemoto,0.2
33281232,Peter J Scheer,1
32696311,Kato Verstrepen,0.33333
32696311,Laure Baisier,0.33333
32696311,Harald De Cauwer,0.33333
33163467,Danilo Buonsenso,0.2
33163467,Piero Valentini,0.2
33163467,Umberto Moscato,0.2
33163467,Walter Ricciardi,0.2
33163467,Damian Roland,0.2
34233952,Scott P Layne,0.5
34233952,Jeffery K Taubenberger,0.5
33574582,Tina Lu,0.5
33574582,Ben Y Reis,0.5
34318976,Simon A Dingsdag,0.33333
34318976,Oliver K Clay,0.33333
34318976,Gustavo A Quintero,0.33333
34287776,Kaleb Keyserling,0.33333
34287776,Emily Janetos,0.33333
34287776,Carol Sprague,0.33333
33494726,Ricardo Fuertes,0.14286
33494726,Elsa Belo,0.14286
33494726,Cristiana Merendeiro,0.14286
33494726,Adriana Curado,0.14286
33494726,Diana Gautier,0.14286
33494726,Ana Neto,0.14286
33494726,Hannah Taylor,0.14286
32796445,Francesco Viola,0.2
32796445,Paolo Milella,0.2
32796445,Francesco Pozzo Giuffrida,0.2
32796445,Simone Ganci,0.2
32796445,Alessandro Invernizzi,0.2
32767263,Meng Tian,0.25
32767263,Cong-Cong Liu,0.25
32767263,Lu Long,0.25
32767263,Qiu-Xia Wang,0.25
32511595,Christopher T Rentsch,0.0625
32511595,Farah Kidwai-Khan,0.0625
32511595,Janet P Tate,0.0625
32511595,Lesley S Park,0.0625
32511595,Joseph T King,0.0625
32511595,Melissa Skanderson,0.0625
32511595,Ronald G Hauser,0.0625
32511595,Anna Schultze,0.0625
32511595,Christopher I Jarvis,0.0625
32511595,Mark Holodniy,0.0625
32511595,Vincent Lo Re,0.0625
32511595,Kathleen M Akgun,0.0625
32511595,Kristina Crothers,0.0625
32511595,Tamar H Taddei,0.0625
32511595,Matthew S Freiberg,0.0625
32511595,Amy C Justice,0.0625
33260036,Judit Vall Castelló,0.5
33260036,Guillem Lopez Casasnovas,0.5
34310603,Sanath Kumar Janaka,0.16667
34310603,Natasha M Clark,0.16667
34310603,David T Evans,0.16667
34310603,Huihui Mou,0.16667
34310603,Michael Farzan,0.16667
34310603,Joseph P Connor,0.16667
32429774,Ryan A Watson,0.2
32429774,Drew M Johnson,0.2
32429774,Robin N Dharia,0.2
32429774,Geno J Merli,0.2
32429774,John U Doherty,0.2
33338847,Broto Widya Hartanto,0.5
33338847,Dyah Samti Mayasari,0.5
33231938,Łukasz Szarpak,0.2
33231938,Tomasz Dzieciątkowski,0.2
33231938,Miłosz J Jaguszewski,0.2
33231938,Jerzy R Ładny,0.2
33231938,Krzysztof J Filipiak,0.2
34224585,R L McKenzie,0.5
34224585,J B Liley,0.5
34300099,Davide Barbieri,0.16667
34300099,Enrico Giuliani,0.16667
34300099,Anna Del Prete,0.16667
34300099,Amanda Losi,0.16667
34300099,Matteo Villani,0.16667
34300099,Alberto Barbieri,0.16667
32332033,Abi Rimmer,1
33846664,Hao Luo,0.5
33846664,Lexuan Zhong,0.5
33894099,Jingyi Yang,0.14286
33894099,Zhao Zhang,0.14286
33894099,Fengyuan Yang,0.14286
33894099,Haiwei Zhang,0.14286
33894099,Haibo Wu,0.14286
33894099,Feng Zhu,0.14286
33894099,Weiwei Xue,0.14286
34336879,Xingshuo Hu,0.09091
34336879,Fei Xie,0.09091
34336879,Kaifei Wang,0.09091
34336879,Hongjun Gu,0.09091
34336879,Guoxin Mo,0.09091
34336879,Ruoxuan Wen,0.09091
34336879,Ying Zhao,0.09091
34336879,Qingyun Yang,0.09091
34336879,Knut Möller,0.09091
34336879,Zhanqi Zhao,0.09091
34336879,Lixin Xie,0.09091
34007655,Jillian Reardon,0.2
34007655,Jamie Yuen,0.2
34007655,Timothy Lim,0.2
34007655,Richard Ng,0.2
34007655,Barbara Gobis,0.2
32563105,Andrian Liem,0.16667
32563105,Hao Fong Sit,0.16667
32563105,Retha Arjadi,0.16667
32563105,Anushka R Patel,0.16667
32563105,Jon D Elhai,0.16667
32563105,Brian J Hall,0.16667
32364443,Zaid A Abassi,0.2
32364443,Karl Skorecki,0.2
32364443,Samuel N Heyman,0.2
32364443,Safa Kinaneh,0.2
32364443,Zaher Armaly,0.2
34242848,Paul J Turner,0.25
34242848,Heidi Larson,0.25
34242848,Ève Dubé,0.25
34242848,Allison Fisher,0.25
33071033,Lisa Saiman,0.04
33071033,Karen P Acker,0.04
33071033,Dani Dumitru,0.04
33071033,Maria Messina,0.04
33071033,Candace Johnson,0.04
33071033,Philip Zachariah,0.04
33071033,Wanda Abreu,0.04
33071033,Minna Saslaw,0.04
33071033,M Kathleen Keown,0.04
33071033,Erin Hanft,0.04
33071033,Grace Liao,0.04
33071033,Donna Johnson,0.04
33071033,Kenya Robinson,0.04
33071033,Svetlana Streltsova,0.04
33071033,Natali Valderrama,0.04
33071033,Amrita Markan,0.04
33071033,Magda Rosado,0.04
33071033,Ganga Krishnamurthy,0.04
33071033,Rakesh Sahni,0.04
33071033,Anna A Penn,0.04
33071033,Jean Ju Sheen,0.04
33071033,Noelia Zork,0.04
33071033,Janice Aubey,0.04
33071033,Corrina Oxford-Horrey,0.04
33071033,Dena Goffman,0.04
33522604,Dorota Ozga,0.2
33522604,Sabina Krupa,0.2
33522604,Wioletta Mędrzycka-Dąbrowska,0.2
33522604,Małgorzata Knap,0.2
33522604,Paweł Witt,0.2
34033234,Loreto Ríos-Pohl,0.33333
34033234,Macarena Franco,0.33333
34033234,Magdalena Gonzalez,0.33333
33192719,Fernanda Cristina Coelho Musse,0.125
33192719,Laura de Siqueira Castro,0.125
33192719,Ksdy Maiara Moura Sousa,0.125
33192719,Thiago Fuentes Mestre,0.125
33192719,Camila De Masi Teixeira,0.125
33192719,Sandra Marisa Pelloso,0.125
33192719,Dalva Poyares,0.125
33192719,Maria Dalva de Barros Carvalho,0.125
33269092,Carly Welch,0.2
33269092,Carolyn Greig,0.2
33269092,Tahir Masud,0.2
33269092,Daisy Wilson,0.2
33269092,Thomas A Jackson,0.2
34058432,Scott A Simpson,0.14286
34058432,Ryan M Loh,0.14286
34058432,Maximilliam Cabrera,0.14286
34058432,Megan Cahn,0.14286
34058432,Anne Gross,0.14286
34058432,Allison Hadley,0.14286
34058432,Ryan E Lawrence,0.14286
34511325,Ayise Karadag,0.5
34511325,Tuba Sengul,0.5
33044314,Abigael Cohen,0.16667
33044314,Ruud W Selles,0.16667
33044314,Willemijn A De Ridder,0.16667
33044314,Marloes H P Ter Stege,0.16667
33044314,J Sebastiaan Souer,0.16667
33044314,Robbert M Wouters,0.16667
33044314,,0.16667
33362943,Padmanabhan Seshaiyer,0.5
33362943,Connie L McNeely,0.5
34373245,Rafael Silvestre Knack,0.25
34373245,Taliê Hanada,0.25
34373245,Renata Silvestre Knack,0.25
34373245,Kamilla Mayr,0.25
32616588,Orla O'Carroll,0.09091
32616588,Rachel MacCann,0.09091
32616588,Aoife O'Reilly,0.09091
32616588,Eleanor M Dunican,0.09091
32616588,Eoin R Feeney,0.09091
32616588,Silke Ryan,0.09091
32616588,Aoife Cotter,0.09091
32616588,Patrick W Mallon,0.09091
32616588,Michael P Keane,0.09091
32616588,Marcus W Butler,0.09091
32616588,Cormac McCarthy,0.09091
34407944,Nader Yatim,0.03448
34407944,Jeremy Boussier,0.03448
34407944,Pauline Tetu,0.03448
34407944,Nikaïa Smith,0.03448
34407944,Timothée Bruel,0.03448
34407944,Bruno Charbit,0.03448
34407944,Laura Barnabei,0.03448
34407944,Aurélien Corneau,0.03448
34407944,Laetitia Da Meda,0.03448
34407944,Clara Allayous,0.03448
34407944,Barouyr Baroudjian,0.03448
34407944,Majdi Jebali,0.03448
34407944,Florian Herms,0.03448
34407944,Ludivine Grzelak,0.03448
34407944,Isabelle Staropoli,0.03448
34407944,Vincent Calmettes,0.03448
34407944,Jerome Hadjadj,0.03448
34407944,Olivier Peyrony,0.03448
34407944,Charles Cassius,0.03448
34407944,Jerome LeGoff,0.03448
34407944,Nora Kramkimel,0.03448
34407944,Selim Aractingi,0.03448
34407944,Magnus Fontes,0.03448
34407944,Catherine Blanc,0.03448
34407944,Frederic Rieux-Laucat,0.03448
34407944,Olivier Schwartz,0.03448
34407944,Benjamin Terrier,0.03448
34407944,Darragh Duffy,0.03448
34407944,Celeste Lebbé,0.03448
33193552,Daniel Tusé,0.25
33193552,Somen Nandi,0.25
33193552,Karen A McDonald,0.25
33193552,Johannes Felix Buyel,0.25
32901413,Mohammad Taheri,0.25
32901413,Ali Bahrami,0.25
32901413,Parisa Habibi,0.25
32901413,Fatemeh Nouri,0.25
33715598,William R Martin,0.5
33715598,Feixiong Cheng,0.5
32633104,Matthieu Allez,0.07692
32633104,Blandine Denis,0.07692
32633104,Jean-David Bouaziz,0.07692
32633104,Maxime Battistella,0.07692
32633104,Anne-Marie Zagdanski,0.07692
32633104,Jules Bayart,0.07692
32633104,Ingrid Lazaridou,0.07692
32633104,Caroline Gatey,0.07692
32633104,Evangeline Pillebout,0.07692
32633104,Marie-Laure Chaix Baudier,0.07692
32633104,Constance Delaugerre,0.07692
32633104,Jean-Michel Molina,0.07692
32633104,Jérôme Le Goff,0.07692
32301764,Alana M Flexman,0.09091
32301764,Arnoley S Abcejo,0.09091
32301764,Rafi Avitsian,0.09091
32301764,Veerle De Sloovere,0.09091
32301764,David Highton,0.09091
32301764,Niels Juul,0.09091
32301764,Shu Li,0.09091
32301764,Lingzhong Meng,0.09091
32301764,Chanannait Paisansathan,0.09091
32301764,Girija P Rath,0.09091
32301764,Irene Rozet,0.09091
33204546,Vikash Paudel,0.5
33204546,Deepa Chudal,0.5
34103130,Stéphane Amar,1
33980231,Francisco J de Abajo,0.2
33980231,Antonio Rodríguez-Miguel,0.2
33980231,Sara Rodríguez-Martín,0.2
33980231,Victoria Lerma,0.2
33980231,Alberto García-Lledó,0.2
33980231,,0.2
33789843,Louise E Smith,0.16667
33789843,Henry W W Potts,0.16667
33789843,Richard Amlôt,0.16667
33789843,Nicola T Fear,0.16667
33789843,Susan Michie,0.16667
33789843,G James Rubin,0.16667
32639742,Edouard Alphandéry,1
33796284,Purva Sharma,0.2
33796284,Jia H Ng,0.2
33796284,Vanesa Bijol,0.2
33796284,Kenar D Jhaveri,0.2
33796284,Rimda Wanchoo,0.2
34578394,Grace W Goryoka,0.02439
34578394,Caitlin M Cossaboom,0.02439
34578394,Radhika Gharpure,0.02439
34578394,Patrick Dawson,0.02439
34578394,Cassandra Tansey,0.02439
34578394,John Rossow,0.02439
34578394,Victoria Mrotz,0.02439
34578394,Jane Rooney,0.02439
34578394,Mia Torchetti,0.02439
34578394,Christina M Loiacono,0.02439
34578394,Mary L Killian,0.02439
34578394,Melinda Jenkins-Moore,0.02439
34578394,Ailam Lim,0.02439
34578394,Keith Poulsen,0.02439
34578394,Dan Christensen,0.02439
34578394,Emma Sweet,0.02439
34578394,Dallin Peterson,0.02439
34578394,Anna L Sangster,0.02439
34578394,Erin L Young,0.02439
34578394,Kelly F Oakeson,0.02439
34578394,Dean Taylor,0.02439
34578394,Amanda Price,0.02439
34578394,Tair Kiphibane,0.02439
34578394,Rachel Klos,0.02439
34578394,Darlene Konkle,0.02439
34578394,Sanjib Bhattacharyya,0.02439
34578394,Trivikram Dasu,0.02439
34578394,Victoria T Chu,0.02439
34578394,Nathaniel M Lewis,0.02439
34578394,Krista Queen,0.02439
34578394,Jing Zhang,0.02439
34578394,Anna Uehara,0.02439
34578394,Elizabeth A Dietrich,0.02439
34578394,Suxiang Tong,0.02439
34578394,Hannah L Kirking,0.02439
34578394,Jeffrey B Doty,0.02439
34578394,Laura S Murrell,0.02439
34578394,Jessica R Spengler,0.02439
34578394,Anne Straily,0.02439
34578394,Ryan Wallace,0.02439
34578394,Casey Barton Behravesh,0.02439
34556343,Hari Shankar Meshram,0.05556
34556343,Vivek B Kute,0.05556
34556343,Himanshu V Patel,0.05556
34556343,Umapati Hegde,0.05556
34556343,Pratik Das,0.05556
34556343,Keshab Sil,0.05556
34556343,Manisha Sahay,0.05556
34556343,Sree Bhushan Raju,0.05556
34556343,Arpita Ray Chaudhury,0.05556
34556343,Vishwanath Siddini,0.05556
34556343,Vivek Pathak,0.05556
34556343,M M Bahadur,0.05556
34556343,Urmila Anand,0.05556
34556343,Amresh Krishna,0.05556
34556343,Abi Abraham,0.05556
34556343,Ansy H Patel,0.05556
34556343,Vineet Mishra,0.05556
34556343,Sanshriti Chauhan,0.05556
34344498,Qiao Wang,0.16667
34344498,Jianfeng Bao,0.16667
34344498,Jiyong Huang,0.16667
34344498,Lin Huang,0.16667
34344498,Haichang Li,0.16667
34344498,Chengping Wen,0.16667
32682878,Alana Deutsch,0.11111
32682878,Rachel Blasiak,0.11111
32682878,Ashley Keyes,0.11111
32682878,Julia Wu,0.11111
32682878,Shoshana Marmon,0.11111
32682878,Falguni Asrani,0.11111
32682878,Janet Moy,0.11111
32682878,Marian Russo,0.11111
32682878,Beth N McLellan,0.11111
33526866,Mark A Baxter,0.07692
33526866,John Murphy,0.07692
33526866,David Cameron,0.07692
33526866,Judith Jordan,0.07692
33526866,Christine Crearie,0.07692
33526866,Christina Lilley,0.07692
33526866,Azmat Sadozye,0.07692
33526866,Mary Maclean,0.07692
33526866,Peter Hall,0.07692
33526866,Angela Phillips,0.07692
33526866,Alex Greger,0.07692
33526866,Jude Madeleine,0.07692
33526866,Russell D Petty,0.07692
32658757,L G M Dijkhuizen,0.33333
32658757,H T Gelderman,0.33333
32658757,W L J M Duijst,0.33333
34309349,Rossana Izzetti,0.2
34309349,Stefano Gennai,0.2
34309349,Marco Nisi,0.2
34309349,Mario Gabriele,0.2
34309349,Filippo Graziani,0.2
33889933,Mark Anthony Mixon,0.1
33889933,Scott Dietrich,0.1
33889933,Benjamin Bushong,0.1
33889933,Gary Peksa,0.1
33889933,Ryan Rogoszewski,0.1
33889933,Alexander Theiler,0.1
33889933,Lindsey Spears,0.1
33889933,Joshua Werth,0.1
33889933,Erin Meister,0.1
33889933,Matthew Steven Martin,0.1
32815924,M Batllori Gastón,1
34112103,Yao Ma,0.11111
34112103,Min He,0.11111
34112103,Li-Sha Hou,0.11111
34112103,Shen Xu,0.11111
34112103,Zhi-Xin Huang,0.11111
34112103,Na Zhao,0.11111
34112103,Yan Kang,0.11111
34112103,Ji-Rong Yue,0.11111
34112103,Chenkai Wu,0.11111
33938291,Colin Binns,0.5
33938291,Wah Yun Low,0.5
33860503,Kadir Burak Ozer,0.2
33860503,Onder Sakin,0.2
33860503,Kazibe Koyuncu,0.2
